name,price,rating,image
"vivo T5x 5G (Star Silver, 128 GB)","₹22,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/m/e/-original-imahhhfv5ffnzjbv.jpeg?q=70
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹29,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/v/5/-original-imahgqnzfpgfhfap.jpeg?q=70
"Ai+ Pulse 1 (Sparkle Red, 64 GB)","₹7,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/w/t/-original-imahhc4czn6fswwz.jpeg?q=70
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹13,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/f/p/-original-imahhngjhhgsxpe4.jpeg?q=70
"MOTOROLA Edge 70 Fusion (Pantone BLUE SURF, 128 GB)","₹26,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/i/8/-original-imahh5xjfmygs7g3.jpeg?q=70
"MOTOROLA edge 70 pro (Satin-Luxe PANTONE Tea (Green), 256 GB)","₹38,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/k/l/-original-imahmjmkvtxghced.jpeg?q=70
"POCO C85x (Sunset Gold, 64 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/n/v/-original-imahhdvgbme4frmy.jpeg?q=70
"POCO C85x (Emerald Green, 64 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/y/m/-original-imahhdvgqxdczjzz.jpeg?q=70
"Ai+ Pulse 1 (Purple, 64 GB)","₹7,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/4/y/-original-imahgzhpcehgd6xv.jpeg?q=70
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹9,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/9/-original-imahgctgvmt6kjyn.jpeg?q=70
"MOTOROLA edge 70 pro (Marble - PANTONE Lily white (white), 256 GB)","₹38,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/k/p/-original-imahmjmkm7dthwcp.jpeg?q=70
"MOTOROLA edge 70 pro (Marble - PANTONE Lily white (white), 256 GB)","₹41,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/k/p/-original-imahmjmkm7dthwcp.jpeg?q=70
"POCO C85x (Elite Black, 64 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/u/c/-original-imahhdvguz822ftz.jpeg?q=70
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹12,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/q/r/-original-imahfvrmzd46wgw5.jpeg?q=70
"realme P4 Lite (Sea Blue, 128 GB)","₹10,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/s/7/-original-imahkkjrz3qhsxps.jpeg?q=70
"Ai+ Pulse 2 (Purple, 64 GB)","₹8,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/g/a/-original-imahh27g4e28qac6.jpeg?q=70
"MOTOROLA edge 70 pro (Tailored Fabric - PANTONE Titan (Blue), 256 GB)","₹38,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/p/-original-imahmjmkbwm3naf5.jpeg?q=70
"MOTOROLA edge 70 pro (Tailored Fabric - PANTONE Titan (Blue), 256 GB)","₹41,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/p/-original-imahmjmkbwm3naf5.jpeg?q=70
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/q/m/g35-5g-pb3h0000in-motorola-original-imah7c6ykgz5rtgv.jpeg?q=70
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/v/c/g35-5g-pb3h0001in-motorola-original-imah7c6xqfsptyzx.jpeg?q=70
"MOTOROLA edge 70 pro (Satin-Luxe PANTONE Tea (Green), 256 GB)","₹41,999",,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/k/l/-original-imahmjmkvtxghced.jpeg?q=70
"Ai+ Pulse 1 (Green, 64 GB)","₹7,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/8/r/-original-imahgzhp6ymjfsv4.jpeg?q=70
"POCO C85x (Elite Black, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/u/c/-original-imahhdvguz822ftz.jpeg?q=70
"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/v/w/-original-imahm5cxbhd4umd6.jpeg?q=70
"vivo T5 Pro 5G (Cosmic Black, 128 GB)","₹29,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/k/5/-original-imahmhjagd7f3wuh.jpeg?q=70
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹18,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/d/m/-original-imahm5cxfxxhmhew.jpeg?q=70
"realme P4x 5G (Matte Silver, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/z/7/-original-imahhmksfzcpkyky.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/p/a/-original-imahkcvguk5mx7zm.jpeg?q=70
"vivo T5 Pro 5G (Glacier Blue, 256 GB)","₹33,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/z/-original-imahmhjaxfexnj7n.jpeg?q=70
"Infinix GT 30 5G+ Pulse Green 128 (Pulse Green, 128 GB)","₹21,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/v/4/-original-imaheqpg7muyyzrr.jpeg?q=70
"Ai+ Pulse 2 (Green, 128 GB)","₹9,999",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/z/r/-original-imahh27g6cgsf8z3.jpeg?q=70
"POCO X8 Pro (Black, 256 GB)","₹32,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/z/f/-original-imahhhkkyqrfqeeu.jpeg?q=70
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/6/4/g35-5g-pb3h0002in-motorola-original-imah7c6wzezymef7.jpeg?q=70
"OnePlus Nord 6 (Pitch Black, 256 GB)","₹39,492",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/h/i/nord-6-nord-6-one-plus-original-imahmbwghzqg7wvq.jpeg?q=70
